city,country,latitude,longitude,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T13:54:26+00:00,2,148.85,0.02,0.59,64.12,0.43,7.96,10.15,1.17
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T14:05:09+00:00,2,148.85,0.02,0.59,64.12,0.43,7.96,10.15,1.17
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T15:00:07+00:00,1,161.79,0.0,0.93,59.85,0.46,8.45,10.93,1.4
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T16:00:07+00:00,1,186.38,0.0,1.37,54.2,0.54,9.54,12.59,1.84
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T17:00:05+00:00,2,223.45,0.0,1.88,48.85,0.62,11.37,15.2,2.31
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T17:11:14+00:00,2,223.45,0.0,1.88,48.85,0.62,11.37,15.2,2.31
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T17:26:40+00:00,2,223.45,0.0,1.88,48.85,0.62,11.37,15.2,2.31
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T17:41:44+00:00,2,257.14,0.0,2.26,44.34,0.63,13.17,17.68,2.47
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T18:00:05+00:00,2,257.14,0.0,2.26,44.34,0.63,13.17,17.68,2.47
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T18:11:09+00:00,2,257.14,0.0,2.26,44.34,0.63,13.17,17.68,2.47
Antananarivo,Madagascar,-18.8792,47.5079,2026-07-27T18:21:44+00:00,2,257.14,0.0,2.26,44.34,0.63,13.17,17.68,2.47
Beijing,China,39.9042,116.4074,2026-07-27T13:54:30+00:00,4,421.86,0.0,15.39,49.56,7.73,61.54,66.87,13.01
Beijing,China,39.9042,116.4074,2026-07-27T14:05:12+00:00,4,421.86,0.0,15.39,49.56,7.73,61.54,66.87,13.01
Beijing,China,39.9042,116.4074,2026-07-27T14:57:11+00:00,4,446.24,0.0,17.05,31.82,7.09,64.78,71.01,16.86
Beijing,China,39.9042,116.4074,2026-07-27T16:00:10+00:00,4,450.38,0.02,17.68,21.11,6.56,67.7,73.81,21.35
Beijing,China,39.9042,116.4074,2026-07-27T17:00:08+00:00,4,449.01,0.05,16.88,14.99,6.12,70.49,75.81,23.93
Beijing,China,39.9042,116.4074,2026-07-27T17:11:17+00:00,4,449.01,0.05,16.88,14.99,6.12,70.49,75.81,23.93
Beijing,China,39.9042,116.4074,2026-07-27T17:26:43+00:00,4,449.01,0.05,16.88,14.99,6.12,70.49,75.81,23.93
Beijing,China,39.9042,116.4074,2026-07-27T17:41:47+00:00,4,446.93,0.1,15.56,10.67,5.76,73.0,77.75,25.59
Beijing,China,39.9042,116.4074,2026-07-27T18:00:09+00:00,4,446.93,0.1,15.56,10.67,5.76,73.0,77.75,25.59
Beijing,China,39.9042,116.4074,2026-07-27T18:11:12+00:00,4,446.93,0.1,15.56,10.67,5.76,73.0,77.75,25.59
Beijing,China,39.9042,116.4074,2026-07-27T18:21:48+00:00,4,446.93,0.1,15.56,10.67,5.76,73.0,77.75,25.59
Los Angeles,USA,34.0522,-118.2437,2026-07-27T13:50:04+00:00,2,80.7,0.01,0.88,62.57,0.93,5.09,16.88,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T14:01:56+00:00,2,80.7,0.01,0.88,62.57,0.93,5.09,16.88,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T14:50:25+00:00,2,81.7,0.08,0.9,62.5,0.94,5.18,16.91,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T16:00:06+00:00,2,82.43,0.15,0.8,63.43,0.93,5.3,17.0,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T17:00:04+00:00,2,83.33,0.16,0.67,66.22,0.92,5.51,17.36,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T17:11:19+00:00,2,83.33,0.16,0.67,66.22,0.92,5.51,17.36,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T17:20:05+00:00,2,83.33,0.16,0.67,66.22,0.92,5.51,17.36,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T17:40:04+00:00,2,84.23,0.13,0.51,70.42,0.92,5.87,17.92,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T18:00:10+00:00,2,84.23,0.13,0.51,70.42,0.92,5.87,17.92,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T18:11:14+00:00,2,84.23,0.13,0.51,70.42,0.92,5.87,17.92,0.0
Los Angeles,USA,34.0522,-118.2437,2026-07-27T18:21:50+00:00,2,84.23,0.13,0.51,70.42,0.92,5.87,17.92,0.0
New Delhi,India,28.6139,77.209,2026-07-27T13:44:39+00:00,2,449.34,0.05,27.21,37.37,3.05,22.91,33.58,20.77
New Delhi,India,28.6139,77.209,2026-07-27T13:58:44+00:00,2,449.34,0.05,27.21,37.37,3.05,22.91,33.58,20.77
New Delhi,India,28.6139,77.209,2026-07-27T14:58:05+00:00,2,437.78,0.0,22.61,39.37,2.76,23.28,34.05,16.55
New Delhi,India,28.6139,77.209,2026-07-27T15:50:38+00:00,2,410.09,0.0,17.97,43.58,2.45,22.99,32.76,12.47
New Delhi,India,28.6139,77.209,2026-07-27T16:52:57+00:00,2,409.16,0.0,16.18,42.95,2.33,23.61,33.09,10.54
New Delhi,India,28.6139,77.209,2026-07-27T17:03:11+00:00,2,409.16,0.0,16.18,42.95,2.33,23.61,33.09,10.54
New Delhi,India,28.6139,77.209,2026-07-27T17:26:05+00:00,2,409.16,0.0,16.18,42.95,2.33,23.61,33.09,10.54
New Delhi,India,28.6139,77.209,2026-07-27T17:36:44+00:00,2,403.88,0.0,14.67,43.17,2.13,24.2,32.98,9.0
New Delhi,India,28.6139,77.209,2026-07-27T17:56:48+00:00,2,403.88,0.0,14.67,43.17,2.13,24.2,32.98,9.0
New Delhi,India,28.6139,77.209,2026-07-27T18:07:01+00:00,2,403.88,0.0,14.67,43.17,2.13,24.2,32.98,9.0
New Delhi,India,28.6139,77.209,2026-07-27T18:17:25+00:00,2,403.88,0.0,14.67,43.17,2.13,24.2,32.98,9.0
Paris,France,48.8566,2.3522,2026-07-27T13:50:04+00:00,2,105.09,0.12,0.47,75.42,0.4,2.02,3.58,1.74
Paris,France,48.8566,2.3522,2026-07-27T14:02:54+00:00,2,105.09,0.12,0.47,75.42,0.4,2.02,3.58,1.74
Paris,France,48.8566,2.3522,2026-07-27T14:53:29+00:00,2,105.11,0.12,0.51,78.04,0.38,2.1,3.61,1.79
Paris,France,48.8566,2.3522,2026-07-27T16:00:06+00:00,2,105.78,0.12,0.58,80.44,0.38,2.19,3.68,1.89
Paris,France,48.8566,2.3522,2026-07-27T16:53:59+00:00,2,105.78,0.11,0.65,81.52,0.38,2.25,3.75,2.02
Paris,France,48.8566,2.3522,2026-07-27T17:06:54+00:00,2,105.78,0.11,0.65,81.52,0.38,2.25,3.75,2.02
Paris,France,48.8566,2.3522,2026-07-27T17:20:06+00:00,2,105.78,0.11,0.65,81.52,0.38,2.25,3.75,2.02
Paris,France,48.8566,2.3522,2026-07-27T17:40:04+00:00,2,105.84,0.08,0.74,81.7,0.39,2.28,3.79,2.17
Paris,France,48.8566,2.3522,2026-07-27T17:59:38+00:00,2,105.84,0.08,0.74,81.7,0.39,2.28,3.79,2.17
Paris,France,48.8566,2.3522,2026-07-27T18:11:07+00:00,2,105.84,0.08,0.74,81.7,0.39,2.28,3.79,2.17
Paris,France,48.8566,2.3522,2026-07-27T18:21:43+00:00,2,105.84,0.08,0.74,81.7,0.39,2.28,3.79,2.17
